ID,Recency,District,Area,Asking price UGX m,Units,Monthly rent UGX m,Gross yield %,Condition or tenure,Source,URL,Notes
1,Active 2026,Kampala,Muyenga Bukasa,580,4,6.0,12.4,"Occupied; 20 decimals; Private Mailo",RED,https://www.realestatedatabase.net/FindAHouse/HouseDetails.aspx?HouseCode=235050,
2,Active 2026,Wakiso,Kiteetikka,600,6,,,80% complete; 25 decimals; Mailo,RED,https://www.realestatedatabase.net/FindAHouse/HouseDetails.aspx?HouseCode=208435,No current rent
3,Active 2026,Wakiso,Kulambiro Ring Road,800,4,6.0,9.0,"Occupied; 20 decimals; title and plan stated",RED,https://www.realestatedatabase.net/FindAHouse/HouseDetails.aspx?HouseCode=197868,
4,Published Apr 2026,Kampala,Ntinda,800,6,9.0,13.5,17 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/ntinda-income-9m-price-800m-6-units-of-2-bedrooms-on-17-decimals/,
5,Added Jun 2026,Wakiso,Kyaliwajjala,680,6,7.2,12.7,Ready title stated,PropertyPro,https://www.propertypro.co.ug/property/2-bedroom-apartment-block-apartment-for-sale-kyaliwajjala-road-kampala-central-kampala-central-8ACYJ,
6,Added May 2026,Kampala,Kyanja,750,6,,,1-bedroom units,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-kyanja-road-kampala-central-kampala-central-9ACXS,
7,Added May 2026,Wakiso,Kira Bulindo,270,6,,,Rental rooms,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-kira-road-kampala-central-kampala-central-3ACXH,
8,Added May 2026,Wakiso,Bweyogerere Butto,400,6,,,Apartment block,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-bweyogerere-butto-kampala-central-kampala-central-8ACWR,
9,Added May 2026,Wakiso,Kira Bulindo,640,8,,,Mix of 1- and 2-bedroom units; count wording unclear,PropertyPro,https://www.propertypro.co.ug/property/2-bedroom-apartment-block-apartment-for-sale-kira-bulindo-kampala-central-kampala-central-8ACWJ,Confirm unit schedule
10,Added Apr 2026,Kampala,Kyanja,800,6,6.0,9.0,12 decimals; Private Mailo stated,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-kyanja-road-kampala-central-kampala-central-0ACVW,
11,Added Apr 2026,Wakiso,Najjera,600,,4.2,8.4,12 decimals,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-najjera-kampala-central-kampala-central-0ACVT,Description says UGX 700m
12,Added Apr 2026,Wakiso,Abayita Ababiri,350,8,3.2,11.0,Agreement title stated,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-entebbe-road-kampala-central-kampala-central-6ACUX,
13,Added Mar 2026,Kampala,Kyanja,800,6,6.6,9.9,Apartment block,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-kyanja-kampala-central-kampala-central-8ACTB,Possible duplicate of another Kyanja record
14,Added Feb 2026,Wakiso,Kyaliwajjala,265,2,1.8,8.2,13 decimals; Mailo stated,PropertyPro,https://www.propertypro.co.ug/property/2-bedroom-apartment-block-apartment-for-sale-kyaliwajjala-road-kampala-central-kampala-central-5ACQH,
15,Added Feb 2026,Wakiso,Namugongo,630,6,6.0,11.4,Ready title stated,PropertyPro,https://www.propertypro.co.ug/property/2-bedroom-apartment-block-apartment-for-sale-namugongo-kampala-central-kampala-central-4ACPX,Description says UGX 620m
16,Added Feb 2026,Wakiso,Kyaliwajjala,320,4,2.4,9.0,12 decimals,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-kyaliwajjala-road-kampala-central-kampala-central-3ACPX,
17,Added Jan 2026,Wakiso,Namugongo,500,,3.4,8.2,Apartment block,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-namugongo-kampala-central-kampala-central-9ACNT,Confirm unit count
18,Added Jan 2026,Wakiso,Namugongo,700,8,5.6,9.6,Apartment block,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-namugongo-road-kampala-central-kampala-central-7ACNT,
19,Added Jan 2026,Wakiso,Najjera,800,8,8.0,12.0,12 decimals,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-najjera-road-kampala-central-kampala-central-9ACNN,
20,Added Jan 2026,Wakiso,Najjera,650,8,6.0,11.1,Apartment block,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-najjera-road-kampala-central-kampala-central-5ACNJ,
21,Undated active,Kampala,Mbuya Mutongo,380,"House + 5 rentals",,,50 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/houses-for-sale-rent/houses-for-sale/4-bedrooms-house-with-5-rentals-for-sale-in-mbuya-mutongo-area-on-50-decimals-at-380m-ugx/,
22,Undated active,Kampala,Kyanja Kungu,500,6,4.2,10.1,1-bedroom units,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/6-units-apartments-block-for-sale-in-kyanja-kungu-making-4-2m-ugx-going-for-500m-ugx/,
23,Undated active,Kampala,Kawempe,320,4,3.2,12.0,2-bedroom units,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/4-units-apartments-block-of-2-bedrooms-for-sale-in-kawempe-making-3-2m-ugx-at-320m-ugx/,
24,Undated active,Kampala,Munyonyo,800,8,7.0,10.5,Studio units,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/8-units-studio-apartments-block-for-sale-in-munyonyo-making-7m-ugx-monthly-at-800m-ugx/,
25,Undated active,Kampala,Kawempe Kagoma,70,"House + 4 rentals",,,40 x 40 ft,Uganda Property Agents,https://www.ugandapropertyagents.com/houses-for-sale-rent/houses-for-sale/2-bedroom-house-plu-4-rentals-for-sale-in-kawempe-kagoma-bombo-road-on-40x40ft-at-70m-ugx/,
26,Undated active,Wakiso,Kungu,450,Several,3.1,8.3,Apartment block,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/apartments-for-sale-in-kungu-making-3-1m-ugx-monthly-at-450m-ugx/,Confirm unit count
27,Undated active,Wakiso,Seguku Katale,75,3,,,Shell units; titled 50 x 50 ft stated,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/3-rental-units-for-sale-in-seguku-katale-on-50x50ft-titled-at-75m-ugx/,Completion budget required
28,Undated active,Wakiso,Bweyogerere,270,5,2.5,11.1,Double rentals,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/5-rental-units-for-sale-in-bweyogerere-making-2-5m-ugx-monthly-at-270m-ugx/,
29,Undated active,Wakiso,Najjera,350,6,3.0,10.3,Rental units,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/6-rental-units-for-sale-in-najjera-making-3m-ugx-monthly-at-350m-ugx/,
30,Undated active,Wakiso,Kira Bulindo,270,5,2.75,12.2,14 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/5-rental-units-for-sale-in-kira-bulindo-making-2-75m-ugx-at-270m-ugx/,May be related to record 7
31,Undated active,Wakiso,Namugongo,380,6,3.6,11.4,14 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/6-rental-units-for-sale-in-namugongo-making-3-6m-ugx-monthly-at-380m-ugx/,
32,Undated active,Wakiso,Kira-Najjera Road,280,"6 + 2 shops",3.0,12.9,13 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/6-rental-units-with-2-shops-for-sale-in-kira-najjera-rd-making-3m-ugx-monthly-at-280m-ugx/,
33,Undated active,Wakiso,Sonde,200,3,1.95,11.7,2-bedroom units; 13 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/3-rental-units-of-2-bedrooms-for-sale-in-sonde-making-1-95m-ugx-monthly-at-200m-ugx/,Duplicate URL removed
