ID,Scan status (25 Jul 2026),Recency,District,Area,Asking price UGX m,Units,Monthly rent UGX m,Gross yield %,L3 fully-loaded payback yrs,Land size,Tenure,Condition,Source,URL,Notes
1,Still listed,Active 2026,Kampala,Muyenga Bukasa,580.0,4,6.0,12.4,13.3,20 decimals,Private Mailo (stated),Occupied; 20 decimals; Private Mailo,RED,https://www.realestatedatabase.net/FindAHouse/HouseDetails.aspx?HouseCode=235050,
2,Not found in re-scan,Active 2026,Wakiso,Kiteetikka,600.0,6,,,,25 decimals,Mailo (stated),80% complete; 25 decimals; Mailo,RED,https://www.realestatedatabase.net/FindAHouse/HouseDetails.aspx?HouseCode=208435,No current rent
3,Not found in re-scan,Active 2026,Wakiso,Kulambiro Ring Road,800.0,4,6.0,9.0,18.4,20 decimals,Title stated — verify,Occupied; 20 decimals; title and plan stated,RED,https://www.realestatedatabase.net/FindAHouse/HouseDetails.aspx?HouseCode=197868,
4,Not re-verified,Published Apr 2026,Kampala,Ntinda,800.0,6,9.0,13.5,12.3,17 decimals,,17 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/ntinda-income-9m-price-800m-6-units-of-2-bedrooms-on-17-decimals/,
5,Not found in re-scan,Added Jun 2026,Wakiso,Kyaliwajjala,680.0,6,7.2,12.7,13.0,,Title stated — verify,Ready title stated,PropertyPro,https://www.propertypro.co.ug/property/2-bedroom-apartment-block-apartment-for-sale-kyaliwajjala-road-kampala-central-kampala-central-8ACYJ,
6,Not found in re-scan,Added May 2026,Kampala,Kyanja,750.0,6,,,,,,1-bedroom units,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-kyanja-road-kampala-central-kampala-central-9ACXS,
7,Not found in re-scan,Added May 2026,Wakiso,Kira Bulindo,270.0,6,,,,,,Rental rooms,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-kira-road-kampala-central-kampala-central-3ACXH,
8,Not found in re-scan,Added May 2026,Wakiso,Bweyogerere Butto,400.0,6,,,,,,Apartment block,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-bweyogerere-butto-kampala-central-kampala-central-8ACWR,
9,Not found in re-scan,Added May 2026,Wakiso,Kira Bulindo,640.0,8,,,,,,Mix of 1- and 2-bedroom units; count wording unclear,PropertyPro,https://www.propertypro.co.ug/property/2-bedroom-apartment-block-apartment-for-sale-kira-bulindo-kampala-central-kampala-central-8ACWJ,Confirm unit schedule
10,Not found in re-scan,Added Apr 2026,Kampala,Kyanja,800.0,6,6.0,9.0,18.4,12 decimals,Private Mailo (stated),12 decimals; Private Mailo stated,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-kyanja-road-kampala-central-kampala-central-0ACVW,
11,Not found in re-scan,Added Apr 2026,Wakiso,Najjera,600.0,,4.2,8.4,19.7,12 decimals,,12 decimals,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-najjera-kampala-central-kampala-central-0ACVT,Description says UGX 700m
12,Not found in re-scan,Added Apr 2026,Wakiso,Abayita Ababiri,350.0,8,3.2,11.0,15.1,,Agreement — no registered title stated,Agreement title stated,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-entebbe-road-kampala-central-kampala-central-6ACUX,
13,Still listed,Added Mar 2026,Kampala,Kyanja,800.0,6,6.6,9.9,16.7,,,Apartment block,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-kyanja-kampala-central-kampala-central-8ACTB,Possible duplicate of another Kyanja record
14,Still listed,Added Feb 2026,Wakiso,Kyaliwajjala,265.0,2,1.8,8.2,20.3,13 decimals,Mailo (stated),13 decimals; Mailo stated,PropertyPro,https://www.propertypro.co.ug/property/2-bedroom-apartment-block-apartment-for-sale-kyaliwajjala-road-kampala-central-kampala-central-5ACQH,
15,Still listed,Added Feb 2026,Wakiso,Namugongo,630.0,6,6.0,11.4,14.5,,Title stated — verify,Ready title stated,PropertyPro,https://www.propertypro.co.ug/property/2-bedroom-apartment-block-apartment-for-sale-namugongo-kampala-central-kampala-central-4ACPX,Description says UGX 620m
